vehicle_id,label,avg_speed_kmh,start_frame,end_frame,start_time_s,end_time_s
9,car,0.4,28,29,0.933,0.966
11,car,0.1,181,209,6.032,6.965
12,car,0.0,219,220,7.299,7.332
11,car,1.6,227,232,7.565,7.732
15,car,3.7,388,391,12.931,13.031
18,car,14.0,895,904,29.828,30.128
19,car,3.1,911,940,30.361,31.328
16,car,0.3,421,659,14.031,21.963
14,car,0.6,338,804,11.265,26.795
25,car,0.4,1257,1259,41.893,41.959
27,car,0.2,1335,1347,44.492,44.892
26,car,0.6,1321,1361,44.026,45.359
17,van,0.5,705,943,23.496,31.428
28,car,1.4,1409,1415,46.958,47.158
21,motor,0.3,1011,1061,33.694,35.36
29,car,0.8,1472,1499,49.058,49.958
30,car,1.7,1508,1519,50.258,50.624
29,car,3.1,1520,1529,50.658,50.958
31,car,0.9,1548,1554,51.591,51.791
32,car,0.4,1621,1641,54.024,54.69
34,car,0.6,1672,1675,55.723,55.823
24,van,1.4,1242,1676,41.393,55.857
33,motor,0.2,1664,1679,55.457,55.957
2,car,9.0,0,1727,0.0,57.556
35,van,10.1,1733,1738,57.756,57.923
36,car,1.1,1743,1744,58.09,58.123
5,car,8.7,0,1761,0.0,58.69
3,car,22.5,0,1853,0.0,61.756
1,bus,21.1,0,1861,0.0,62.022
7,van,25.5,0,1866,0.0,62.189
8,van,32.8,0,1993,0.0,66.422
39,car,0.5,2000,2022,66.655,67.388
38,car,29.1,1927,2057,64.222,68.555
40,van,39.4,2021,2155,67.355,71.821
41,van,32.4,2099,2199,69.954,73.287
43,car,0.3,2191,2219,73.02,73.954
45,car,10.7,2273,2282,75.753,76.053
44,van,48.2,2230,2319,74.32,77.286
37,car,0.7,1827,1924,60.889,64.122
48,van,88.1,2329,2377,77.62,79.219
49,car,86.4,2484,2533,82.785,84.418
50,car,0.6,2513,2533,83.752,84.418
52,van,31.7,2552,2555,85.052,85.152
50,car,0.4,2550,2561,84.985,85.352
51,van,86.4,2529,2580,84.285,85.985
53,van,91.2,2558,2598,85.252,86.585
42,car,0.8,2101,2206,70.021,73.52
55,van,31.7,2730,2734,90.984,91.117
54,van,79.9,2699,2754,89.951,91.784
57,car,84.8,2737,2781,91.217,92.684
56,car,39.7,2734,2812,91.117,93.717
59,car,0.8,2841,2879,94.683,95.95
58,car,47.7,2834,2939,94.45,97.949
61,car,0.4,2944,2952,98.116,98.383
62,van,30.2,2951,2956,98.349,98.516
61,car,2.6,2973,2986,99.082,99.516
63,van,80.9,2958,3005,98.583,100.149
64,car,63.3,2981,3048,99.349,101.582
65,car,72.3,2991,3048,99.682,101.582
67,motor,6.1,3102,3106,103.382,103.515
66,van,63.8,3050,3119,101.649,103.948
68,car,67.4,3113,3179,103.748,105.948
71,van,65.4,3198,3265,106.581,108.814
72,van,75.3,3206,3266,106.848,108.847
46,van,0.6,2284,2859,76.12,95.283
73,car,6.8,3385,3389,112.813,112.947
75,car,20.0,3449,3452,114.946,115.046
74,car,78.2,3401,3455,113.347,115.146
60,car,1.4,2928,3030,97.583,100.982
61,car,1.1,3015,3050,100.482,101.649
76,car,4.6,3485,3489,116.146,116.279
6,car,10.4,0,3677,0.0,122.545
4,van,15.0,0,3728,0.0,124.245
13,van,20.5,220,3753,7.332,125.078
69,motor,1.0,3128,3325,104.248,110.814
10,van,25.4,50,3782,1.666,126.044
79,car,3.2,3818,3836,127.244,127.844
82,car,21.6,3841,3843,128.011,128.077
81,car,12.5,3838,3845,127.911,128.144
20,truck,31.0,940,3846,31.328,128.177
23,van,14.0,1096,3847,36.527,128.211
47,van,30.4,2311,3908,77.02,130.244
84,car,1.8,3905,3910,130.144,130.31
22,van,29.1,1061,3912,35.36,130.377
80,motor,35.2,3837,3936,127.877,131.177
84,motor,14.3,3933,3950,131.077,131.643
80,motor,86.2,3963,3981,132.077,132.677
86,motor,0.8,3980,3995,132.643,133.143
77,van,2.6,3547,3605,118.212,120.145
70,car,0.4,3157,3647,105.215,121.545
